time,wait,distance
40.00,0.00,394.89
47.00,0.00,426.51
43.00,2.00,376.51
54.00,8.00,376.51
34.00,0.00,394.89
31.00,0.00,394.89
38.00,0.00,376.51
35.00,0.00,376.51
32.00,0.00,376.51
29.00,0.00,376.51
34.00,0.00,394.89
31.00,0.00,394.89
31.00,0.00,376.51
30.00,0.00,376.51
81.00,36.00,426.51
77.00,30.00,426.51
37.00,0.00,394.89
74.00,21.00,426.51
59.00,23.00,426.51
35.00,0.00,394.89
66.00,18.00,426.51
64.00,24.00,426.51
70.00,22.00,426.51
57.00,10.00,426.51
61.00,10.00,426.51
49.00,8.00,426.51
44.00,0.00,426.51
60.00,21.00,394.90
57.00,20.00,376.51
60.00,22.00,376.51
56.00,14.00,426.51
53.00,16.00,426.51
54.00,11.00,426.51
65.00,22.00,394.90
53.00,16.00,394.90
57.00,13.00,394.90
50.00,12.00,426.51
35.00,4.00,376.51
55.00,16.00,376.51
50.00,12.00,394.90
28.00,0.00,376.51
34.00,0.00,394.89
29.00,0.00,394.89
43.00,3.00,394.90
39.00,0.00,394.89
55.00,14.00,376.51
49.00,6.00,394.90
47.00,6.00,376.51
41.00,2.00,394.90
52.00,10.00,376.51
55.00,10.00,426.51
40.00,0.00,376.51
52.00,5.00,426.51
48.00,4.00,426.51
36.00,0.00,394.90
40.00,0.00,394.90
41.00,0.00,426.51
33.00,0.00,394.90
37.00,0.00,376.51
36.00,0.00,394.89
34.00,0.00,426.51
31.00,0.00,394.89
52.00,16.00,376.51
48.00,0.00,426.51
41.00,0.00,426.51
35.00,0.00,376.51
50.00,8.00,376.51
47.00,8.00,376.51
43.00,2.00,376.51
40.00,1.00,376.51
36.00,0.00,376.51
31.00,0.00,394.89
37.00,0.00,394.89
38.00,0.00,376.51
39.00,0.00,376.51
33.00,0.00,394.89
36.00,0.00,376.51
31.00,0.00,394.89
35.00,0.00,376.51
31.00,0.00,394.89
34.00,0.00,376.51
87.00,38.00,426.51
73.00,24.00,426.51
61.00,23.00,394.90
58.00,23.00,426.51
79.00,33.00,426.51
83.00,32.00,426.51
31.00,0.00,394.89
71.00,21.00,426.51
66.00,16.00,426.51
32.00,2.00,376.51
63.00,16.00,426.51
56.00,18.00,376.51
58.00,9.00,426.51
53.00,16.00,376.51
55.00,7.00,426.51
49.00,13.00,426.51
50.00,8.00,426.51
38.00,0.00,394.89
61.00,20.00,394.90
47.00,6.00,426.51
53.00,15.00,394.90
42.00,5.00,426.51
31.00,0.00,394.89
59.00,16.00,394.90
47.00,9.00,376.51
51.00,11.00,394.90
39.00,1.00,426.51
53.00,13.00,376.51
65.00,20.00,426.51
60.00,15.00,426.51
53.00,10.00,426.51
50.00,7.00,394.90
38.00,0.00,394.90
41.00,1.00,394.90
48.00,6.00,376.51
48.00,1.00,394.90
37.00,0.00,376.51
35.00,0.00,394.89
46.00,11.00,376.51
41.00,0.00,376.51
33.00,0.00,394.90
29.00,0.00,376.51
36.00,0.00,394.90
34.00,0.00,376.51
47.00,0.00,426.51
41.00,0.00,426.51
35.00,0.00,394.89
40.00,0.00,426.51
34.00,0.00,426.51
43.00,5.00,376.51
33.00,0.00,394.89
