time,wait,distance
82.00,22.00,487.89
140.00,60.00,487.89
65.00,22.00,392.83
74.00,36.00,371.33
58.00,14.00,392.83
71.00,31.00,371.33
64.00,23.00,371.33
51.00,8.00,392.83
43.00,1.00,392.83
74.00,22.00,359.44
60.00,18.00,371.33
161.00,75.00,487.89
37.00,0.00,392.83
30.00,0.00,392.83
87.00,33.00,359.44
75.00,34.00,371.33
59.00,17.00,371.33
69.00,27.00,371.33
53.00,15.00,371.33
147.00,78.00,487.89
66.00,21.00,371.33
47.00,9.00,371.33
142.00,70.00,487.89
61.00,16.00,371.33
56.00,12.00,371.33
90.00,36.00,487.89
52.00,7.00,371.33
62.00,22.00,392.83
235.00,149.00,539.01
211.00,131.00,539.01
45.00,6.00,392.83
156.00,97.00,410.56
158.00,103.00,410.56
93.00,44.00,359.44
38.00,1.00,392.83
148.00,91.00,410.56
197.00,106.00,539.01
140.00,76.00,410.56
104.00,51.00,359.44
50.00,9.00,371.33
199.00,118.00,539.01
209.00,128.00,539.01
192.00,99.00,539.01
185.00,93.00,539.01
172.00,99.00,539.01
147.00,93.00,410.56
139.00,82.00,410.56
57.00,14.00,371.33
132.00,76.00,410.56
123.00,65.00,410.56
200.00,109.00,539.01
193.00,104.00,539.01
117.00,57.00,410.56
188.00,103.00,539.01
53.00,8.00,371.33
129.00,65.00,539.01
100.00,51.00,359.44
113.00,56.00,410.56
50.00,10.00,392.83
42.00,2.00,392.83
91.00,37.00,359.44
64.00,18.00,371.33
85.00,32.00,359.44
58.00,23.00,371.33
106.00,50.00,359.44
82.00,28.00,359.44
63.00,20.00,392.83
75.00,26.00,359.44
74.00,29.00,392.83
58.00,14.00,392.83
72.00,24.00,359.44
45.00,0.00,392.83
67.00,23.00,359.44
55.00,5.00,392.83
39.00,0.00,392.83
203.00,126.00,487.89
123.00,56.00,359.44
78.00,29.00,371.33
51.00,10.00,392.83
99.00,39.00,359.44
71.00,25.00,371.33
195.00,103.00,487.89
45.00,2.00,392.83
73.00,27.00,371.33
94.00,41.00,359.44
37.00,0.00,371.33
38.00,0.00,392.83
30.00,0.00,392.83
125.00,62.00,359.44
143.00,82.00,359.44
212.00,124.00,487.89
207.00,120.00,487.89
167.00,101.00,487.89
162.00,96.00,487.89
158.00,97.00,410.56
150.00,95.00,410.56
243.00,154.00,539.01
234.00,145.00,539.01
63.00,23.00,392.83
204.00,138.00,410.56
143.00,80.00,410.56
135.00,70.00,410.56
196.00,128.00,410.56
222.00,126.00,539.01
189.00,121.00,410.56
93.00,42.00,359.44
47.00,5.00,392.83
182.00,121.00,410.56
238.00,141.00,539.01
122.00,62.00,410.56
86.00,37.00,359.44
133.00,67.00,410.56
235.00,157.00,539.01
181.00,121.00,539.01
229.00,139.00,539.01
180.00,121.00,410.56
174.00,111.00,410.56
166.00,98.00,410.56
88.00,30.00,359.44
160.00,90.00,410.56
153.00,80.00,410.56
83.00,27.00,359.44
135.00,75.00,410.56
67.00,18.00,359.44
47.00,8.00,392.83
234.00,133.00,539.01
59.00,13.00,392.83
41.00,3.00,392.83
108.00,51.00,359.44
240.00,142.00,487.89
99.00,43.00,359.44
157.00,87.00,487.89
94.00,43.00,359.44
76.00,28.00,392.83
62.00,15.00,392.83
249.00,149.00,487.89
55.00,9.00,392.83
48.00,0.00,392.83
40.00,0.00,392.83
95.00,33.00,359.44
92.00,45.00,371.33
35.00,0.00,392.83
87.00,31.00,359.44
244.00,129.00,487.89
75.00,26.00,359.44
253.00,138.00,487.89
90.00,39.00,359.44
91.00,50.00,371.33
52.00,7.00,392.83
45.00,1.00,392.83
38.00,0.00,392.83
200.00,127.00,487.89
91.00,45.00,371.33
35.00,0.00,392.83
118.00,77.00,371.33
269.00,166.00,487.89
113.00,74.00,371.33
174.00,91.00,487.89
153.00,106.00,371.33
260.00,138.00,487.89
255.00,131.00,487.89
171.00,107.00,410.56
182.00,115.00,410.56
174.00,110.00,410.56
271.00,160.00,487.89
251.00,166.00,539.01
43.00,3.00,392.83
243.00,165.00,539.01
302.00,203.00,539.01
184.00,118.00,410.56
169.00,96.00,410.56
36.00,0.00,392.83
290.00,183.00,539.01
132.00,63.00,410.56
116.00,67.00,371.33
151.00,81.00,410.56
143.00,80.00,410.56
125.00,60.00,410.56
99.00,45.00,359.44
178.00,115.00,359.44
174.00,110.00,410.56
120.00,64.00,410.56
167.00,102.00,410.56
155.00,87.00,410.56
97.00,40.00,359.44
164.00,91.00,410.56
91.00,32.00,359.44
295.00,182.00,539.01
152.00,85.00,410.56
85.00,28.00,359.44
197.00,133.00,359.44
