time,wait,distance
72.00,32.00,394.90
72.00,29.00,394.90
65.00,26.00,394.90
65.00,25.00,394.90
60.00,20.00,394.90
60.00,18.00,394.90
58.00,17.00,376.59
58.00,17.00,376.59
55.00,17.00,394.90
55.00,14.00,394.90
55.00,13.00,376.59
55.00,13.00,376.59
51.00,8.00,394.90
54.00,10.00,394.90
51.00,9.00,376.59
50.00,7.00,376.59
45.00,5.00,394.90
49.00,6.00,394.90
47.00,6.00,376.59
45.00,3.00,376.59
48.00,2.00,394.90
45.00,1.00,376.59
45.00,0.00,394.90
42.00,0.00,394.90
40.00,0.00,394.90
41.00,0.00,376.59
37.00,0.00,394.90
46.00,0.00,376.59
40.00,0.00,376.59
36.00,0.00,394.90
37.00,0.00,376.59
35.00,0.00,376.59
36.00,0.00,394.90
34.00,0.00,394.90
211.00,141.00,394.90
76.00,40.00,376.59
234.00,163.00,394.90
79.00,36.00,376.59
36.00,1.00,376.59
206.00,136.00,394.90
129.00,82.00,376.59
73.00,32.00,376.59
35.00,0.00,394.90
59.00,19.00,376.59
178.00,116.00,394.90
79.00,42.00,394.90
73.00,34.00,394.90
206.00,131.00,394.90
82.00,40.00,394.90
76.00,35.00,394.90
67.00,29.00,394.90
99.00,57.00,376.59
70.00,31.00,394.90
64.00,23.00,394.90
60.00,15.00,376.59
64.00,18.00,394.90
58.00,16.00,394.90
54.00,15.00,376.59
58.00,16.00,394.90
52.00,12.00,394.90
51.00,11.00,394.90
52.00,7.00,376.59
47.00,5.00,394.90
45.00,4.00,376.59
42.00,1.00,394.90
52.00,5.00,394.90
37.00,0.00,394.90
47.00,1.00,394.90
44.00,0.00,376.59
42.00,0.00,394.90
38.00,0.00,376.59
36.00,0.00,394.90
105.00,58.00,376.59
73.00,36.00,376.59
39.00,0.00,394.90
37.00,0.00,376.59
34.00,0.00,394.90
93.00,42.00,376.59
37.00,0.00,394.90
228.00,149.00,394.90
79.00,30.00,376.59
68.00,31.00,376.59
64.00,13.00,376.59
32.00,0.00,394.90
221.00,141.00,394.90
52.00,4.00,376.59
58.00,17.00,376.59
209.00,149.00,394.90
108.00,62.00,376.59
75.00,35.00,376.59
37.00,0.00,394.90
55.00,17.00,376.59
36.00,0.00,376.59
245.00,179.00,394.90
74.00,38.00,394.90
72.00,32.00,376.59
69.00,32.00,394.90
32.00,0.00,376.59
279.00,202.00,394.90
240.00,168.00,394.90
65.00,26.00,394.90
88.00,50.00,394.90
60.00,22.00,394.90
238.00,160.00,394.90
279.00,200.00,394.90
35.00,0.00,376.59
231.00,152.00,394.90
98.00,53.00,394.90
59.00,16.00,376.59
273.00,201.00,394.90
265.00,199.00,394.90
60.00,22.00,376.59
54.00,15.00,376.59
258.00,188.00,394.90
91.00,52.00,394.90
84.00,29.00,376.59
74.00,30.00,394.90
51.00,7.00,376.59
71.00,25.00,376.59
39.00,0.00,376.59
66.00,24.00,394.90
89.00,47.00,394.90
64.00,23.00,376.59
60.00,21.00,394.90
58.00,18.00,376.59
84.00,45.00,394.90
58.00,16.00,394.90
241.00,149.00,394.90
41.00,5.00,376.59
109.00,63.00,394.90
234.00,139.00,394.90
266.00,191.00,394.90
226.00,133.00,394.90
116.00,65.00,376.59
105.00,56.00,394.90
262.00,181.00,394.90
92.00,33.00,376.59
154.00,107.00,376.59
90.00,49.00,394.90
140.00,93.00,376.59
68.00,21.00,376.59
114.00,65.00,376.59
100.00,51.00,376.59
79.00,43.00,394.90
268.00,181.00,394.90
84.00,43.00,376.59
253.00,184.00,394.90
75.00,35.00,394.90
245.00,175.00,394.90
96.00,50.00,376.59
70.00,31.00,394.90
238.00,169.00,394.90
65.00,24.00,394.90
231.00,159.00,394.90
115.00,69.00,376.59
267.00,186.00,394.90
90.00,51.00,394.90
63.00,21.00,394.90
263.00,184.00,394.90
78.00,32.00,376.59
88.00,43.00,394.90
232.00,157.00,394.90
91.00,51.00,376.59
60.00,19.00,394.90
85.00,45.00,394.90
58.00,14.00,394.90
109.00,60.00,394.90
92.00,51.00,376.59
267.00,187.00,394.90
83.00,34.00,376.59
82.00,30.00,394.90
237.00,147.00,394.90
262.00,173.00,394.90
230.00,136.00,394.90
87.00,50.00,394.90
80.00,36.00,376.59
64.00,22.00,394.90
261.00,163.00,394.90
230.00,138.00,394.90
130.00,85.00,394.90
95.00,49.00,376.59
306.00,216.00,394.90
138.00,80.00,394.90
123.00,78.00,394.90
115.00,61.00,376.59
299.00,206.00,394.90
116.00,71.00,394.90
108.00,61.00,376.59
292.00,194.00,394.90
286.00,180.00,394.90
117.00,71.00,394.90
114.00,70.00,394.90
97.00,56.00,376.59
59.00,18.00,376.59
283.00,183.00,394.90
55.00,16.00,394.90
92.00,53.00,376.59
53.00,16.00,376.59
50.00,14.00,394.90
279.00,173.00,394.90
89.00,47.00,376.59
160.00,101.00,394.90
51.00,10.00,376.59
274.00,168.00,394.90
269.00,167.00,394.90
52.00,7.00,394.90
49.00,5.00,376.59
159.00,93.00,394.90
47.00,5.00,394.90
89.00,47.00,376.59
267.00,167.00,394.90
104.00,54.00,376.59
97.00,53.00,376.59
297.00,187.00,394.90
306.00,202.00,394.90
144.00,91.00,394.90
46.00,7.00,394.90
149.00,100.00,394.90
137.00,85.00,394.90
126.00,79.00,376.59
130.00,82.00,394.90
122.00,74.00,394.90
88.00,37.00,376.59
80.00,36.00,376.59
122.00,73.00,376.59
300.00,187.00,394.90
61.00,15.00,376.59
126.00,79.00,376.59
105.00,63.00,394.90
135.00,90.00,394.90
104.00,56.00,376.59
98.00,56.00,394.90
129.00,84.00,394.90
92.00,49.00,394.90
125.00,77.00,394.90
308.00,207.00,394.90
163.00,104.00,394.90
119.00,73.00,394.90
95.00,51.00,376.59
303.00,201.00,394.90
143.00,80.00,394.90
90.00,47.00,376.59
55.00,7.00,376.59
84.00,42.00,376.59
282.00,183.00,394.90
48.00,3.00,376.59
298.00,193.00,394.90
41.00,5.00,376.59
292.00,192.00,394.90
276.00,172.00,394.90
83.00,40.00,376.59
120.00,75.00,394.90
124.00,78.00,394.90
119.00,73.00,376.59
59.00,20.00,394.90
167.00,110.00,394.90
34.00,0.00,376.59
293.00,191.00,394.90
287.00,183.00,394.90
279.00,163.00,394.90
82.00,37.00,376.59
64.00,19.00,376.59
283.00,179.00,394.90
61.00,20.00,394.90
169.00,107.00,394.90
59.00,19.00,376.59
56.00,16.00,394.90
68.00,22.00,394.90
281.00,173.00,394.90
284.00,183.00,394.90
277.00,181.00,394.90
276.00,168.00,394.90
63.00,17.00,376.59
135.00,90.00,394.90
340.00,225.00,394.90
95.00,47.00,394.90
325.00,222.00,394.90
131.00,85.00,394.90
88.00,40.00,394.90
126.00,77.00,394.90
80.00,35.00,394.90
121.00,73.00,394.90
66.00,26.00,394.90
56.00,17.00,376.59
114.00,68.00,394.90
60.00,18.00,394.90
106.00,61.00,394.90
113.00,64.00,376.59
328.00,223.00,394.90
55.00,13.00,376.59
323.00,215.00,394.90
71.00,25.00,376.59
60.00,14.00,394.90
231.00,158.00,394.90
54.00,12.00,394.90
55.00,17.00,376.59
49.00,8.00,394.90
54.00,9.00,376.59
44.00,2.00,394.90
127.00,71.00,394.90
324.00,221.00,394.90
52.00,7.00,376.59
54.00,16.00,376.59
231.00,157.00,394.90
46.00,2.00,376.59
43.00,0.00,394.90
323.00,214.00,394.90
361.00,252.00,394.90
317.00,203.00,394.90
77.00,31.00,376.59
121.00,78.00,376.59
355.00,245.00,394.90
59.00,21.00,376.59
350.00,232.00,394.90
131.00,66.00,394.90
344.00,221.00,394.90
317.00,198.00,394.90
312.00,191.00,394.90
339.00,216.00,394.90
135.00,85.00,376.59
319.00,223.00,394.90
106.00,59.00,394.90
315.00,216.00,394.90
99.00,51.00,394.90
309.00,208.00,394.90
303.00,201.00,394.90
93.00,44.00,394.90
137.00,97.00,376.59
85.00,37.00,394.90
59.00,20.00,394.90
57.00,18.00,376.59
54.00,16.00,394.90
118.00,64.00,394.90
53.00,14.00,376.59
302.00,204.00,394.90
35.00,0.00,376.59
220.00,144.00,394.90
49.00,9.00,376.59
53.00,10.00,394.90
47.00,7.00,394.90
301.00,197.00,394.90
45.00,5.00,376.59
118.00,61.00,394.90
297.00,192.00,394.90
292.00,190.00,394.90
43.00,2.00,376.59
277.00,181.00,394.90
48.00,3.00,394.90
42.00,0.00,394.90
41.00,0.00,376.59
118.00,59.00,394.90
249.00,164.00,394.90
39.00,0.00,394.90
33.00,0.00,394.90
38.00,0.00,376.59
245.00,161.00,394.90
354.00,241.00,394.90
221.00,141.00,394.90
93.00,48.00,376.59
118.00,58.00,394.90
248.00,165.00,394.90
80.00,32.00,376.59
53.00,11.00,376.59
176.00,136.00,394.90
93.00,48.00,376.59
257.00,191.00,394.90
71.00,33.00,394.90
101.00,51.00,394.90
80.00,31.00,376.59
182.00,107.00,394.90
94.00,45.00,394.90
49.00,11.00,376.59
336.00,215.00,394.90
86.00,38.00,394.90
231.00,141.00,394.90
68.00,26.00,394.90
57.00,18.00,376.59
226.00,138.00,394.90
37.00,0.00,376.59
62.00,21.00,394.90
31.00,0.00,376.59
57.00,15.00,394.90
223.00,137.00,394.90
55.00,13.00,376.59
51.00,11.00,394.90
116.00,57.00,394.90
186.00,115.00,394.90
48.00,5.00,394.90
54.00,7.00,376.59
43.00,2.00,394.90
32.00,0.00,376.59
225.00,143.00,394.90
49.00,4.00,376.59
175.00,105.00,394.90
44.00,0.00,376.59
40.00,0.00,394.90
117.00,56.00,394.90
38.00,0.00,376.59
61.00,21.00,376.59
171.00,107.00,394.90
165.00,102.00,394.90
38.00,0.00,394.90
37.00,0.00,376.59
161.00,96.00,394.90
33.00,0.00,394.90
416.00,285.00,394.90
117.00,53.00,394.90
160.00,91.00,394.90
415.00,274.00,394.90
98.00,54.00,376.59
41.00,0.00,376.59
82.00,44.00,394.90
205.00,129.00,394.90
70.00,33.00,394.90
89.00,44.00,394.90
148.00,83.00,394.90
82.00,35.00,394.90
102.00,62.00,376.59
68.00,26.00,394.90
56.00,16.00,376.59
145.00,80.00,394.90
61.00,16.00,394.90
139.00,77.00,394.90
54.00,13.00,394.90
53.00,12.00,376.59
134.00,72.00,394.90
48.00,10.00,394.90
128.00,65.00,394.90
46.00,6.00,376.59
42.00,4.00,394.90
124.00,58.00,394.90
118.00,54.00,394.90
113.00,50.00,394.90
41.00,0.00,394.90
100.00,40.00,394.90
49.00,0.00,376.59
42.00,0.00,376.59
38.00,0.00,394.90
97.00,41.00,394.90
90.00,40.00,394.90
37.00,0.00,376.59
34.00,0.00,394.90
85.00,34.00,394.90
435.00,314.00,394.90
67.00,30.00,376.59
294.00,232.00,394.90
52.00,13.00,376.59
201.00,153.00,394.90
196.00,150.00,394.90
35.00,0.00,394.90
304.00,256.00,394.90
196.00,146.00,376.59
66.00,28.00,376.59
150.00,105.00,394.90
375.00,270.00,394.90
165.00,95.00,394.90
83.00,42.00,394.90
156.00,112.00,394.90
145.00,100.00,394.90
463.00,323.00,394.90
210.00,132.00,394.90
457.00,313.00,394.90
52.00,16.00,376.59
205.00,125.00,394.90
81.00,41.00,394.90
85.00,43.00,394.90
40.00,0.00,376.59
33.00,0.00,376.59
155.00,86.00,394.90
66.00,26.00,376.59
78.00,33.00,394.90
100.00,46.00,394.90
72.00,28.00,394.90
65.00,21.00,394.90
62.00,20.00,376.59
59.00,18.00,394.90
150.00,107.00,376.59
154.00,107.00,394.90
59.00,15.00,376.59
150.00,100.00,394.90
147.00,101.00,376.59
56.00,13.00,394.90
53.00,12.00,376.59
145.00,97.00,394.90
143.00,94.00,376.59
51.00,8.00,394.90
50.00,6.00,376.59
142.00,93.00,394.90
46.00,3.00,394.90
138.00,89.00,394.90
41.00,0.00,394.90
47.00,0.00,376.59
134.00,85.00,394.90
37.00,0.00,394.90
146.00,91.00,376.59
141.00,90.00,376.59
44.00,0.00,376.59
37.00,0.00,376.59
53.00,18.00,376.59
177.00,106.00,394.90
45.00,10.00,376.59
236.00,181.00,376.59
135.00,83.00,394.90
79.00,40.00,394.90
242.00,184.00,394.90
72.00,32.00,394.90
236.00,178.00,394.90
87.00,47.00,376.59
65.00,24.00,394.90
231.00,172.00,394.90
58.00,17.00,394.90
226.00,163.00,394.90
50.00,10.00,394.90
221.00,161.00,394.90
49.00,7.00,376.59
44.00,5.00,394.90
215.00,155.00,394.90
43.00,4.00,376.59
37.00,0.00,394.90
211.00,149.00,394.90
205.00,157.00,394.90
40.00,0.00,376.59
36.00,0.00,394.90
505.00,375.00,394.90
201.00,156.00,394.90
59.00,20.00,376.59
50.00,9.00,394.90
45.00,8.00,376.59
503.00,369.00,394.90
169.00,114.00,376.59
156.00,98.00,394.90
38.00,0.00,394.90
63.00,23.00,376.59
150.00,90.00,394.90
46.00,8.00,376.59
33.00,0.00,394.90
167.00,118.00,376.59
146.00,84.00,394.90
417.00,310.00,394.90
140.00,81.00,394.90
134.00,74.00,394.90
509.00,361.00,394.90
264.00,206.00,376.59
70.00,23.00,376.59
57.00,14.00,376.59
533.00,387.00,394.90
218.00,142.00,394.90
84.00,44.00,394.90
43.00,0.00,376.59
212.00,136.00,394.90
78.00,40.00,394.90
71.00,32.00,394.90
53.00,12.00,376.59
208.00,128.00,394.90
66.00,29.00,394.90
38.00,0.00,376.59
203.00,126.00,394.90
61.00,23.00,394.90
56.00,20.00,394.90
61.00,21.00,376.59
35.00,0.00,376.59
52.00,15.00,394.90
202.00,121.00,394.90
57.00,16.00,376.59
30.00,0.00,376.59
196.00,111.00,394.90
172.00,101.00,394.90
54.00,13.00,376.59
53.00,11.00,394.90
50.00,8.00,376.59
170.00,97.00,394.90
48.00,7.00,394.90
164.00,92.00,394.90
33.00,0.00,376.59
158.00,87.00,394.90
49.00,5.00,376.59
45.00,3.00,394.90
151.00,77.00,394.90
145.00,71.00,394.90
283.00,217.00,376.59
47.00,0.00,376.59
141.00,66.00,394.90
42.00,0.00,376.59
135.00,53.00,394.90
47.00,0.00,394.90
129.00,52.00,394.90
40.00,0.00,394.90
123.00,52.00,394.90
275.00,218.00,394.90
118.00,51.00,394.90
287.00,213.00,376.59
273.00,210.00,376.59
43.00,0.00,376.59
112.00,53.00,376.59
105.00,50.00,376.59
83.00,42.00,394.90
77.00,35.00,394.90
111.00,57.00,394.90
90.00,45.00,376.59
71.00,29.00,394.90
103.00,51.00,394.90
64.00,24.00,394.90
95.00,49.00,394.90
36.00,0.00,376.59
58.00,19.00,394.90
55.00,17.00,376.59
41.00,0.00,394.90
51.00,7.00,376.59
193.00,130.00,394.90
187.00,127.00,394.90
58.00,9.00,394.90
48.00,4.00,376.59
181.00,120.00,394.90
52.00,7.00,394.90
174.00,111.00,394.90
46.00,1.00,394.90
166.00,105.00,394.90
44.00,0.00,376.59
41.00,0.00,394.90
159.00,96.00,394.90
40.00,0.00,376.59
37.00,0.00,394.90
35.00,0.00,376.59
32.00,0.00,394.90
156.00,87.00,394.90
149.00,81.00,394.90
584.00,434.00,394.90
142.00,75.00,394.90
70.00,30.00,376.59
579.00,423.00,394.90
135.00,67.00,394.90
55.00,18.00,376.59
128.00,66.00,394.90
498.00,378.00,394.90
69.00,27.00,376.59
308.00,250.00,376.59
327.00,256.00,376.59
55.00,12.00,376.59
43.00,3.00,376.59
269.00,214.00,394.90
161.00,92.00,394.90
275.00,224.00,394.90
87.00,41.00,394.90
79.00,37.00,394.90
101.00,44.00,394.90
74.00,35.00,394.90
44.00,2.00,376.59
159.00,87.00,394.90
153.00,82.00,394.90
68.00,28.00,394.90
39.00,1.00,376.59
62.00,19.00,394.90
59.00,18.00,376.59
99.00,43.00,394.90
56.00,15.00,394.90
92.00,43.00,394.90
560.00,444.00,394.90
154.00,83.00,394.90
633.00,483.00,394.90
81.00,37.00,376.59
156.00,95.00,376.59
149.00,79.00,394.90
283.00,233.00,394.90
384.00,330.00,376.59
185.00,138.00,394.90
181.00,139.00,394.90
372.00,314.00,376.59
181.00,138.00,376.59
634.00,491.00,394.90
179.00,133.00,394.90
343.00,278.00,394.90
290.00,225.00,394.90
498.00,395.00,394.90
182.00,128.00,376.59
634.00,485.00,394.90
179.00,127.00,394.90
569.00,437.00,394.90
173.00,124.00,394.90
178.00,126.00,376.59
612.00,461.00,394.90
496.00,389.00,394.90
174.00,123.00,376.59
170.00,123.00,394.90
84.00,37.00,376.59
168.00,92.00,394.90
113.00,67.00,394.90
89.00,43.00,394.90
178.00,110.00,394.90
84.00,42.00,394.90
121.00,80.00,394.90
79.00,38.00,394.90
183.00,124.00,376.59
173.00,103.00,394.90
636.00,473.00,394.90
166.00,98.00,394.90
176.00,133.00,376.59
160.00,99.00,394.90
633.00,471.00,394.90
154.00,98.00,394.90
628.00,467.00,394.90
122.00,81.00,394.90
119.00,77.00,394.90
560.00,424.00,394.90
627.00,464.00,394.90
154.00,92.00,394.90
180.00,127.00,376.59
624.00,462.00,394.90
173.00,126.00,376.59
121.00,74.00,394.90
126.00,79.00,394.90
154.00,88.00,394.90
606.00,450.00,394.90
116.00,76.00,394.90
467.00,343.00,394.90
152.00,83.00,394.90
464.00,341.00,394.90
146.00,71.00,394.90
126.00,80.00,394.90
460.00,341.00,394.90
140.00,94.00,376.59
125.00,78.00,376.59
660.00,511.00,394.90
580.00,454.00,394.90
575.00,449.00,394.90
139.00,84.00,376.59
545.00,438.00,394.90
219.00,169.00,394.90
201.00,153.00,394.90
115.00,75.00,376.59
212.00,157.00,394.90
64.00,25.00,394.90
215.00,135.00,394.90
201.00,152.00,394.90
65.00,24.00,376.59
60.00,22.00,394.90
578.00,459.00,394.90
114.00,71.00,376.59
445.00,339.00,394.90
60.00,20.00,376.59
134.00,83.00,376.59
57.00,18.00,394.90
414.00,319.00,394.90
55.00,15.00,376.59
235.00,183.00,394.90
52.00,15.00,394.90
412.00,320.00,394.90
54.00,13.00,376.59
407.00,315.00,394.90
402.00,308.00,394.90
50.00,9.00,376.59
54.00,9.00,394.90
238.00,181.00,394.90
48.00,5.00,376.59
401.00,306.00,394.90
52.00,5.00,394.90
47.00,3.00,394.90
45.00,1.00,376.59
41.00,0.00,394.90
235.00,171.00,394.90
40.00,0.00,376.59
283.00,201.00,394.90
277.00,199.00,394.90
38.00,0.00,394.90
37.00,0.00,376.59
166.00,118.00,394.90
504.00,385.00,394.90
292.00,222.00,394.90
195.00,115.00,394.90
173.00,123.00,394.90
161.00,115.00,394.90
503.00,389.00,394.90
155.00,105.00,394.90
148.00,102.00,394.90
153.00,105.00,394.90
474.00,376.00,394.90
149.00,99.00,376.59
175.00,125.00,394.90
74.00,32.00,376.59
143.00,93.00,394.90
72.00,31.00,394.90
508.00,396.00,394.90
71.00,28.00,376.59
66.00,25.00,394.90
300.00,225.00,394.90
61.00,23.00,394.90
505.00,401.00,394.90
66.00,24.00,376.59
500.00,395.00,394.90
63.00,22.00,376.59
59.00,20.00,394.90
181.00,119.00,394.90
55.00,16.00,394.90
483.00,393.00,394.90
303.00,230.00,394.90
62.00,17.00,376.59
503.00,407.00,394.90
57.00,13.00,376.59
53.00,11.00,394.90
334.00,246.00,394.90
71.00,34.00,376.59
58.00,11.00,376.59
321.00,243.00,394.90
47.00,4.00,376.59
316.00,234.00,394.90
292.00,205.00,394.90
56.00,8.00,376.59
84.00,42.00,394.90
44.00,1.00,376.59
77.00,38.00,394.90
90.00,47.00,394.90
71.00,34.00,394.90
149.00,85.00,394.90
77.00,36.00,376.59
142.00,79.00,394.90
71.00,33.00,376.59
35.00,0.00,376.59
67.00,29.00,394.90
140.00,74.00,394.90
134.00,68.00,394.90
63.00,25.00,394.90
70.00,27.00,376.59
130.00,63.00,394.90
124.00,57.00,394.90
64.00,23.00,376.59
58.00,17.00,376.59
120.00,52.00,394.90
62.00,18.00,394.90
54.00,14.00,394.90
100.00,39.00,394.90
53.00,13.00,376.59
118.00,47.00,394.90
50.00,10.00,394.90
96.00,37.00,394.90
314.00,224.00,394.90
90.00,37.00,394.90
84.00,32.00,394.90
54.00,7.00,376.59
81.00,25.00,394.90
45.00,1.00,394.90
