time,wait,distance
31.00,0.00,376.59
31.00,0.00,394.90
33.00,0.00,394.90
31.00,0.00,376.59
32.00,0.00,376.59
35.00,0.00,376.59
36.00,0.00,394.90
28.00,0.00,376.59
36.00,0.00,394.90
32.00,0.00,394.90
35.00,0.00,394.90
36.00,0.00,394.90
37.00,0.00,376.59
32.00,0.00,376.59
30.00,0.00,394.90
34.00,0.00,394.90
35.00,0.00,376.59
29.00,0.00,376.59
35.00,0.00,376.59
32.00,0.00,376.59
41.00,0.00,394.90
35.00,0.00,376.59
35.00,0.00,376.59
32.00,0.00,376.59
61.00,23.00,394.90
28.00,0.00,376.59
59.00,15.00,394.90
65.00,21.00,394.90
62.00,20.00,394.90
51.00,6.00,394.90
58.00,19.00,394.90
33.00,0.00,376.59
56.00,12.00,394.90
35.00,0.00,376.59
58.00,16.00,394.90
33.00,0.00,376.59
40.00,0.00,394.90
32.00,0.00,394.90
35.00,0.00,394.90
33.00,0.00,376.59
55.00,12.00,394.90
58.00,17.00,394.90
56.00,11.00,394.90
33.00,0.00,376.59
55.00,7.00,394.90
52.00,7.00,394.90
37.00,0.00,376.59
52.00,4.00,394.90
47.00,1.00,394.90
35.00,0.00,376.59
32.00,0.00,376.59
33.00,0.00,376.59
55.00,4.00,394.90
32.00,0.00,376.59
30.00,0.00,376.59
43.00,0.00,394.90
41.00,0.00,394.90
42.00,0.00,394.90
33.00,0.00,394.90
33.00,0.00,376.59
31.00,0.00,376.59
35.00,0.00,376.59
42.00,1.00,394.90
40.00,0.00,394.90
33.00,0.00,394.90
30.00,0.00,376.59
37.00,0.00,394.90
32.00,0.00,376.59
36.00,0.00,376.59
64.00,15.00,394.90
31.00,0.00,376.59
71.00,27.00,394.90
77.00,35.00,394.90
33.00,0.00,376.59
87.00,45.00,394.90
30.00,0.00,376.59
83.00,43.00,394.90
66.00,17.00,394.90
44.00,1.00,394.90
38.00,0.00,394.90
92.00,54.00,394.90
38.00,2.00,376.59
91.00,51.00,394.90
37.00,0.00,376.59
31.00,0.00,376.59
35.00,0.00,376.59
71.00,28.00,394.90
32.00,0.00,376.59
35.00,0.00,376.59
53.00,12.00,394.90
41.00,1.00,394.90
33.00,0.00,394.90
31.00,0.00,376.59
37.00,0.00,394.90
94.00,47.00,394.90
38.00,0.00,376.59
36.00,0.00,376.59
27.00,0.00,376.59
32.00,0.00,376.59
100.00,53.00,394.90
94.00,43.00,394.90
33.00,0.00,376.59
29.00,0.00,376.59
72.00,24.00,394.90
40.00,0.00,394.90
81.00,30.00,394.90
39.00,0.00,394.90
34.00,0.00,394.90
96.00,49.00,394.90
33.00,0.00,376.59
32.00,0.00,376.59
32.00,0.00,394.90
91.00,43.00,394.90
31.00,0.00,376.59
105.00,51.00,394.90
30.00,0.00,376.59
30.00,0.00,376.59
94.00,36.00,394.90
35.00,0.00,376.59
84.00,43.00,394.90
33.00,0.00,376.59
35.00,0.00,376.59
85.00,48.00,394.90
114.00,62.00,394.90
35.00,0.00,376.59
79.00,37.00,394.90
31.00,0.00,376.59
36.00,0.00,376.59
107.00,61.00,394.90
68.00,32.00,394.90
61.00,21.00,394.90
35.00,0.00,376.59
31.00,0.00,376.59
101.00,55.00,394.90
86.00,48.00,394.90
32.00,0.00,376.59
114.00,75.00,394.90
42.00,2.00,376.59
35.00,0.00,376.59
32.00,0.00,376.59
59.00,23.00,376.59
54.00,14.00,376.59
133.00,75.00,394.90
77.00,33.00,394.90
76.00,34.00,394.90
66.00,22.00,376.59
75.00,34.00,394.90
90.00,40.00,394.90
59.00,17.00,394.90
156.00,100.00,394.90
134.00,67.00,394.90
62.00,15.00,376.59
75.00,29.00,394.90
49.00,7.00,394.90
47.00,5.00,376.59
155.00,97.00,394.90
75.00,31.00,394.90
154.00,85.00,394.90
142.00,81.00,394.90
146.00,75.00,394.90
139.00,74.00,394.90
66.00,26.00,376.59
134.00,67.00,394.90
62.00,20.00,376.59
73.00,26.00,394.90
96.00,53.00,394.90
63.00,23.00,394.90
60.00,20.00,376.59
132.00,65.00,394.90
61.00,22.00,376.59
155.00,84.00,394.90
58.00,13.00,376.59
55.00,8.00,376.59
50.00,5.00,376.59
114.00,71.00,394.90
97.00,49.00,376.59
45.00,5.00,376.59
168.00,118.00,394.90
90.00,38.00,376.59
66.00,26.00,376.59
130.00,78.00,394.90
185.00,135.00,394.90
41.00,6.00,376.59
61.00,20.00,376.59
124.00,78.00,394.90
100.00,59.00,376.59
105.00,62.00,394.90
154.00,104.00,394.90
96.00,53.00,376.59
171.00,124.00,394.90
40.00,3.00,376.59
95.00,55.00,394.90
93.00,49.00,376.59
89.00,44.00,376.59
65.00,26.00,376.59
175.00,121.00,394.90
119.00,72.00,394.90
86.00,41.00,394.90
60.00,20.00,376.59
